mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.262140418039533,0.07886093021591717,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.20142660209837693,0.17350229253004568,0.2296698857019598,0.4058645697590816,0.3589979647554217,0.2523531213035427,0.30117130600265785,0.2140157503447071,0.3077980744043265,0.17660461349521062
1ns,0.14742884413525975,0.07916788452632773,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.19058521093563352,-0.04244101031256964,0.20139623413770036,0.17845868293045974,0.22362213820391763,0.19566685252643512,0.10771585791174265,0.10006795740172258,0.19403533460276878,0.12518118301478676
2ns,0.15655151043194104,0.050064570063096205,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.18789185271672715,0.25171170900583695,0.15231037407256276,0.1202993613476323,0.09335030158057389,0.11304982406934272,0.14796143863124467,0.2197461590229105,0.1577521254907941,0.12144195838178529
3ns,0.13308470844230796,0.04721901340906466,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.15370802813674977,0.21723621238137958,0.07712106219182369,0.11416773196694763,0.08290522831191294,0.16376411619061948,0.09917106106797946,0.10094542085348768,0.1302635694394152,0.1915646538827641
4ns,0.14936845952959904,0.07002022591767407,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.16384975867584806,0.25404017881911334,0.14321908530867133,0.18864630170990393,0.08357064302805994,0.15342561787703635,0.2223472806122957,0.050708162811931135,0.18718870966396106,0.04668885678916945
5ns,0.1507500698793945,0.05855306686596794,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.25930054332509966,0.22311820090458923,0.14325258900069682,0.1646568203507751,0.06790767354662042,0.08225454359326445,0.15010740512842424,0.13109413542449389,0.17048894883107546,0.11531983868890583
6ns,0.13127956313740924,0.06247742792569907,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.1353409137530298,0.2540287078256964,0.19329980693210702,0.07067946838066475,0.12179681851008417,0.06517074153044311,0.0862628401478156,0.176879061366078,0.14034587446190727,0.06899139846626612
7ns,0.13355736628849266,0.058952219791569144,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.18379107153545604,0.22952888748529177,0.10693875781443507,0.06769795760258923,0.044733595566188944,0.1412049521344223,0.18911773533780052,0.14941769735551147,0.14507448231300368,0.07806852574022749
8ns,0.1388548348395334,0.08356763051829001,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.2240214039240931,0.2438707052257928,0.10903257400068511,0.18785000332174984,0.031315502722353394,0.04672006942713658,0.2330102645728631,0.05552901198844784,0.1796291051493376,0.07756970806287455
9ns,0.1359767161519195,0.08181255119343679,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.1821739783118389,0.23004864339369446,0.11000846053049385,0.10118087334702053,-0.003052623789149722,0.2100533835757854,0.15948340274293893,0.04757718587078874,0.24152166297173383,0.08077219456405005
10ns,0.13552800297053363,0.05152041635026255,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.18047070339754745,0.24482860336582857,0.12673602596550926,0.11132948889331196,0.13528366181572526,0.10716008321832893,0.1603058687122213,0.08330062694881912,0.14158781600528325,0.06427715138276147
conformations_10,0.17599683968885035,0.0676273434278667,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.13189206544874954,0.03637430879879311,0.20562326098226347,0.26261260381600193,0.1811910381478664,0.18381398679412286,0.2298700350265218,0.15785085819789302,0.2480040502070866,0.12273618946920462
conformations_20,0.18017905273415669,0.06472594537323466,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.12488091181723471,0.05712347333816625,0.20335126332037357,0.26256963414868806,0.18037224800354057,0.18591385272477468,0.2535062068834649,0.16036636756027978,0.24292414507499782,0.1307824244700465
