mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
0ns,0.211019311471508,0.07647556724057598,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.0880139108039989,0.15251087445598144,0.18341401265903878,0.3300273054529267,0.1358095479707191,0.23358898229834824,0.24290500321800135,0.17550488414416787,0.2836295819422918,0.28478901176960547
1ns,0.2171801132436118,0.09525782633015449,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.12506431861208445,0.03350168039313961,0.23912314036721583,0.32612712847505876,0.1531802662621251,0.2134878874636752,0.22786585135696336,0.24174848074174837,0.248667606512456,0.36303477225165137
2ns,0.20581310726037788,0.05910074355701608,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.19421093439905457,0.27985465935229936,0.26125931165967753,0.20736984123748936,0.10854935000239752,0.12625377238596125,0.19637086299526008,0.16855834301819328,0.2523966340282038,0.2633073635252422
3ns,0.20073841747737817,0.04649465961130557,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.2310063177110897,0.25385236636922415,0.23825655890984465,0.20387235681022775,0.09391205663856173,0.19019906716131108,0.23016028682854284,0.1869546018280509,0.16243996538765804,0.21673059712927079
4ns,0.22457463228301294,0.05864753045600831,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.2623695590281092,0.26345761858172023,0.19486574895989373,0.26055848200989473,0.10580970675271995,0.14719525243639797,0.21260152051261905,0.256220911717427,0.2820025587469056,0.26066496408444195
5ns,0.21754894593540483,0.05771403541874921,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.24422316335634986,0.28688429689725226,0.14964938327639143,0.13485528804103064,0.13955042865233747,0.1980037820036913,0.2756806849682121,0.25901717423178494,0.2495761027725929,0.2380491551544056
6ns,0.22843472249109725,0.04983706531861616,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.2301314219097681,0.3049667718357659,0.1698180493734257,0.24294407019160458,0.13253384606720442,0.22076921408614492,0.23365129360302073,0.2507743870442096,0.28245312954677415,0.2163050412530545
7ns,0.21048184535331083,0.05554612917289276,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.2543023132093377,0.26643793486532186,0.21546845736194054,0.17341967969354843,0.08314048813704034,0.18466987038371363,0.2211889538305457,0.21593073071201485,0.275880310112426,0.21437971522721933
8ns,0.2514292831455039,0.07618388446108851,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.24562731898531853,0.34508282324323225,0.21306816242947557,0.2834840028636578,0.11198171958695025,0.15676547887923842,0.35285769479629425,0.26001296494563386,0.2977906155045087,0.24762205022072925
9ns,0.26319708003916176,0.05460521913978411,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.3248994168399837,0.29536875914558924,0.3101147407889374,0.21662174464860373,0.1788721342484334,0.17401655353443912,0.26127583125808274,0.29286274767937115,0.3021377893910707,0.2758010828571067
10ns,0.22822828210830357,0.056261532540536126,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.3239863461931882,0.26626467531066234,0.23869609759014376,0.15243822187258083,0.1459216420848919,0.17433110766649806,0.2653015382952033,0.2568296834899775,0.23775050368455153,0.22076300489533807
conformations_10,0.23320507966403387,0.06774985586132691,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.1861477728932931,0.11106129302242462,0.21888616093204638,0.3158939714045159,0.17459156305751988,0.22337434775549214,0.2905295216025301,0.20677954323495196,0.297713744847098,0.3070728778904669
conformations_20,0.22947330083290093,0.06609677662839758,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.1905075315019309,0.10319637143938598,0.2106812280603434,0.3221316211465648,0.17153640119699165,0.2276547520250093,0.27335864748113725,0.21547298896736966,0.28362257046495665,0.29657089604531983
